,Title,Channel,Length,Likes,Dislikes,Views,Comments,Uploaded,Depth,LikeRatio,Minutes,views_str,likes_str,dislikes_str,LikeRatio_str,plot_text
66,Friends: Ross and Rachel’s Intense Poker Showdown (Season 1 Clip) | TBS,TBS,05:16,29003,630,3570485,1071,2020-02-09,7,97.874,5.267,3570485,29003,630,97.874,Friends: Ross and Rachel’s Intense Poker Showdown (Season 1 Clip) | TBS<br>Channel: TBS<br>Views: 3570485<br>Likes: 29003<br>LikeRatio: 97.874<br>Length: 05:16
67,Friends: Funniest Moments of Season 3 (Mashup) | TBS,TBS,53:30,75925,3614,11502036,2658,2020-10-28,7,95.456,53.5,11502036,75925,3614,95.456,Friends: Funniest Moments of Season 3 (Mashup) | TBS<br>Channel: TBS<br>Views: 11502036<br>Likes: 75925<br>LikeRatio: 95.456<br>Length: 53:30
68,Friends: Ross Almost Confesses his Feelings for Rachel (Season 1 Clip) | TBS,TBS,04:45,8373,209,1445937,250,2020-01-03,7,97.565,4.75,1445937,8373,209,97.565,Friends: Ross Almost Confesses his Feelings for Rachel (Season 1 Clip) | TBS<br>Channel: TBS<br>Views: 1445937<br>Likes: 8373<br>LikeRatio: 97.565<br>Length: 04:45
69,The Cube: Can Whitney and Kal Beat The Cube? (Season 1 Episode 2 Clip) | TBS,TBS,03:30,64,4,6333,16,2021-06-19,7,94.118,3.5,6333,64,4,94.118,The Cube: Can Whitney and Kal Beat The Cube? (Season 1 Episode 2 Clip) | TBS<br>Channel: TBS<br>Views: 6333<br>Likes: 64<br>LikeRatio: 94.118<br>Length: 03:30
70,Friends: Chandler Sees Rachel Naked (Season 1 Clip) | TBS,TBS,03:06,52591,1149,6517839,1262,2020-01-24,8,97.862,3.1,6517839,52591,1149,97.862,Friends: Chandler Sees Rachel Naked (Season 1 Clip) | TBS<br>Channel: TBS<br>Views: 6517839<br>Likes: 52591<br>LikeRatio: 97.862<br>Length: 03:06
71,Friends: Best Moments From Season 2 (Mashup) | TBS,TBS,56:52,121686,5439,17899831,4339,2020-08-20,8,95.722,56.867,17899831,121686,5439,95.722,Friends: Best Moments From Season 2 (Mashup) | TBS<br>Channel: TBS<br>Views: 17899831<br>Likes: 121686<br>LikeRatio: 95.722<br>Length: 56:52
72,Friends: Chandler Gets A Little Desperate (Season 1 Clip) | TBS,TBS,04:48,34098,878,4443534,664,2020-02-16,8,97.49,4.8,4443534,34098,878,97.49,Friends: Chandler Gets A Little Desperate (Season 1 Clip) | TBS<br>Channel: TBS<br>Views: 4443534<br>Likes: 34098<br>LikeRatio: 97.49<br>Length: 04:48
73,Friends: The Friends Play a Stripping Game (Season 3 Clip) | TBS,TBS,02:40,17594,312,1846863,398,2020-08-22,8,98.258,2.667,1846863,17594,312,98.258,Friends: The Friends Play a Stripping Game (Season 3 Clip) | TBS<br>Channel: TBS<br>Views: 1846863<br>Likes: 17594<br>LikeRatio: 98.258<br>Length: 02:40
74,Friends: Ross Kisses Chandler's Mom (Season 1 Clip) | TBS,TBS,04:41,25146,627,3532666,1237,2020-01-18,8,97.567,4.683,3532666,25146,627,97.567,Friends: Ross Kisses Chandler's Mom (Season 1 Clip) | TBS<br>Channel: TBS<br>Views: 3532666<br>Likes: 25146<br>LikeRatio: 97.567<br>Length: 04:41
76,Friends: Chandler's Most Sarcastic Moments (Mashup) | TBS,TBS,14:35,168143,3291,12959355,4565,2020-06-08,8,98.08,14.583,12959355,168143,3291,98.08,Friends: Chandler's Most Sarcastic Moments (Mashup) | TBS<br>Channel: TBS<br>Views: 12959355<br>Likes: 168143<br>LikeRatio: 98.08<br>Length: 14:35
