,Title,Channel,Length,Likes,Dislikes,Views,Comments,Uploaded,Depth,LikeRatio,Minutes,views_str,likes_str,dislikes_str,LikeRatio_str,plot_text
35,Friends: Ross Almost Confesses his Feelings for Rachel (Season 1 Clip) | TBS,TBS,04:45,8373,209,1445937,250,2020-01-03,4,97.565,4.75,1445937,8373,209,97.565,Friends: Ross Almost Confesses his Feelings for Rachel (Season 1 Clip) | TBS<br>Channel: TBS<br>Views: 1445937<br>Likes: 8373<br>LikeRatio: 97.565<br>Length: 04:45
36,Friends: Will and Rachel (Clip) | TBS,TBS,02:27,26342,613,3271224,728,2013-11-26,4,97.726,2.45,3271224,26342,613,97.726,Friends: Will and Rachel (Clip) | TBS<br>Channel: TBS<br>Views: 3271224<br>Likes: 26342<br>LikeRatio: 97.726<br>Length: 02:27
37,Friends: Rachel Admits She Loves Ross (Season 4 Clip) | TBS,TBS,02:09,12909,209,1278277,307,2020-10-31,4,98.407,2.15,1278277,12909,209,98.407,Friends: Rachel Admits She Loves Ross (Season 4 Clip) | TBS<br>Channel: TBS<br>Views: 1278277<br>Likes: 12909<br>LikeRatio: 98.407<br>Length: 02:09
38,Friends: Ross Says Rachel (Season 5 Clip) | TBS,TBS,03:14,13217,209,1258819,804,2020-11-08,4,98.443,3.233,1258819,13217,209,98.443,Friends: Ross Says Rachel (Season 5 Clip) | TBS<br>Channel: TBS<br>Views: 1258819<br>Likes: 13217<br>LikeRatio: 98.443<br>Length: 03:14
39,Friends: Monica and Rachel's Prom Video (Season 2 Clip) | TBS,TBS,03:13,14203,178,1247206,500,2020-04-19,4,98.762,3.217,1247206,14203,178,98.762,Friends: Monica and Rachel's Prom Video (Season 2 Clip) | TBS<br>Channel: TBS<br>Views: 1247206<br>Likes: 14203<br>LikeRatio: 98.762<br>Length: 03:13
40,Friends: Ross’ Phone Call with Julie Annoys Rachel (Season 2 Clip) | TBS,TBS,02:35,33927,544,3266015,1019,2020-03-05,5,98.422,2.583,3266015,33927,544,98.422,Friends: Ross’ Phone Call with Julie Annoys Rachel (Season 2 Clip) | TBS<br>Channel: TBS<br>Views: 3266015<br>Likes: 33927<br>LikeRatio: 98.422<br>Length: 02:35
41,Friends: Best Moments From Season 2 (Mashup) | TBS,TBS,56:52,121686,5439,17899831,4339,2020-08-20,5,95.722,56.867,17899831,121686,5439,95.722,Friends: Best Moments From Season 2 (Mashup) | TBS<br>Channel: TBS<br>Views: 17899831<br>Likes: 121686<br>LikeRatio: 95.722<br>Length: 56:52
42,Friends: Ross Hears Rachel's Voicemail Confessing Her Love (Season 2 Clip) | TBS,TBS,02:29,29303,352,2437709,647,2020-03-26,5,98.813,2.483,2437709,29303,352,98.813,Friends: Ross Hears Rachel's Voicemail Confessing Her Love (Season 2 Clip) | TBS<br>Channel: TBS<br>Views: 2437709<br>Likes: 29303<br>LikeRatio: 98.813<br>Length: 02:29
43,Friends: Ross and Rachel’s Intense Poker Showdown (Season 1 Clip) | TBS,TBS,05:16,29003,630,3570485,1071,2020-02-09,5,97.874,5.267,3570485,29003,630,97.874,Friends: Ross and Rachel’s Intense Poker Showdown (Season 1 Clip) | TBS<br>Channel: TBS<br>Views: 3570485<br>Likes: 29003<br>LikeRatio: 97.874<br>Length: 05:16
44,Friends: Ross' Love Triangle Becomes Phoebe's Song (Season 2 Clip) | TBS,TBS,02:04,10914,138,817473,455,2020-03-28,5,98.751,2.067,817473,10914,138,98.751,Friends: Ross' Love Triangle Becomes Phoebe's Song (Season 2 Clip) | TBS<br>Channel: TBS<br>Views: 817473<br>Likes: 10914<br>LikeRatio: 98.751<br>Length: 02:04
